category;description;description_stem
K91;transtorno aparelho digestivo pos procedimento;transtorn aparelh digest pos proced
K92;hematemese;hematemes
K92;melena;melen
K92;hemorragia gastrointestinal , outra especificacao;hemorrag gastrointestinal , outr especific
K92;outras doencas especificadas aparelho digestivo;outr doenc especific aparelh digest
K92;doenca aparelho digestivo , outra especificacao;doenc aparelh digest , outr especific
K93;transtornos devido tuberculose intestino , peritonio ganglios mesenterio;transtorn dev tuberculos intestin , peritoni gangli mesenteri
K93;megacolon doenca chagas;megacolon doenc chag
K93;transtornos outros orgaos digestivos especificados doencas classificadas outra parte;transtorn outr orga digest especific doenc classific outr part
L00;sindrome pele escaldada estafilococica recem - nascido;sindrom pel escald estafilococ recem - nasc
L01;impetigo [ qualquer localizacao ] [ qualquer microorganismo ];impetig [ qualqu localiz ] [ qualqu microorgan ]
L01;impetiginizacao outras dermatoses;impetiginiz outr dermatos
L02;abscesso cutaneo , furunculo antraz face;abscess cutan , furuncul antraz fac
L02;abscesso cutaneo , furunculo antraz pescoco;abscess cutan , furuncul antraz pescoc
L02;abscesso cutaneo , furunculo antraz tronco;abscess cutan , furuncul antraz tronc
L02;abscesso cutaneo , furunculo antraz nadega;abscess cutan , furuncul antraz nadeg
L02;abscesso cutaneo , furunculo antraz ( ) membro ( );abscess cutan , furuncul antraz ( ) membr ( )
L02;abscesso cutaneo , furunculo antraz outras localizacoes;abscess cutan , furuncul antraz outr localiz
L02;abscesso cutaneo , furunculo antraz localizacao especificada;abscess cutan , furuncul antraz localiz especific
L03;celulite dedos maos pes;celulit ded ma pes
L03;celulite outras partes ( ) membro ( );celulit outr part ( ) membr ( )
L03;celulite face;celulit fac
L03;celulite tronco;celulit tronc
L03;celulite outros locais;celulit outr loc
L03;celulite especificada;celulit especific
L04;linfadenite aguda face , cabeca pescoco;linfadenit agud fac , cabec pescoc
L04;linfadenite aguda tronco;linfadenit agud tronc
L04;linfadenite aguda membro superior;linfadenit agud membr superior
L04;linfadenite aguda membro inferior;linfadenit agud membr inferior
L04;linfadenite aguda outras localizacoes;linfadenit agud outr localiz
L04;linfadenite aguda localizacao especificada;linfadenit agud localiz especific
L05;cisto pilonidal abscesso;cist pilonidal abscess
L05;cisto pilonidal abscesso;cist pilonidal abscess
L08;piodermite;piodermit
L08;eritrasma;eritrasm
L08;outras infeccoes localizadas , especificadas , pele tecido subcutaneo;outr infecco localiz , especific , pel tec subcutan
L08;infeccao localizada pele tecido subcutaneo , especificada;infecca localiz pel tec subcutan , especific
L10;penfigo vulgar;penfig vulg
L10;penfigo vegetante;penfig veget
L10;penfigo foliaceo;penfig foliac
L10;penfigo brasileiro [ fogo selvagem ];penfig brasileir [ fog selvag ]
L10;penfigo eritematoso;penfig eritemat
L10;penfigo induzido drogas;penfig induz drog
L10;outras formas penfigo;outr form penfig
L10;penfigo , especificado;penfig , especific
L11;ceratose folicular adquirida;ceratos folicul adquir
L11;dermatose acantolitica transitoria [ grover ];dermatos acantolit transitor [ grov ]
L11;outras afeccoes acantoliticas especificadas;outr afecco acantolit especific
L11;afeccoes acantoliticas especificadas;afecco acantolit especific
L12;penfigoide bolhoso;penfigoid bolhos
L12;penfigoide cicatricial;penfigoid cicatricial
L12;doenca bolhosa cronica infancia;doenc bolhos cronic infanc
L12;epidermolise bolhosa adquirida;epidermolis bolhos adquir
L12;outras formas penfigoide;outr form penfigoid
L12;penfigoide , especificado;penfigoid , especific
L13;dermatite herpetiforme;dermatit herpetiform
L13;dermatite pustular subcorneana;dermatit pustul subcornean
L13;outras afeccoes bolhosas especificadas;outr afecco bolhos especific
L13;doenca bolhosa , especificada;doenc bolhos , especific
L14;afeccoes bolhosas doencas classificadas outra parte;afecco bolhos doenc classific outr part
L20;prurigo besnier;prurig besni
L20;outras dermatites atopicas;outr dermatit atop
L20;dermatite atopica , especificada;dermatit atop , especific
L21;seborreia couro cabeludo;seborr cour cabelud
L21;dermatite seborreica infantil;dermatit seborr infantil
L21;outras dermatites seborreicas;outr dermatit seborr
L21;dermatite seborreica , especificada;dermatit seborr , especific
L22;dermatite fraldas;dermatit frald
L23;dermatite alergica contato devida metais;dermatit alerg contat dev met
L23;dermatite alergica contato devida adesivos;dermatit alerg contat dev ades
L23;dermatite alergica contato devida cosmeticos;dermatit alerg contat dev cosmet
L23;dermatite alergica contato devido drogas contato pele;dermatit alerg contat dev drog contat pel
L23;dermatite alergica contato devida corantes;dermatit alerg contat dev corant
L23;dermatite alergica contato devida outros produtos quimicos;dermatit alerg contat dev outr produt quimic
L23;dermatite alergica contato devida alimentos contato pele;dermatit alerg contat dev aliment contat pel
L23;dermatite alergica contato devido plantas , exceto alimentos;dermatit alerg contat dev plant , excet aliment
L23;dermatite alergica contato devido outros agentes;dermatit alerg contat dev outr agent
L23;dermatite alergica contato , causa especificada;dermatit alerg contat , caus especific
L24;dermatite contato irritantes devida detergentes;dermatit contat irrit dev detergent
L24;dermatite contato irritantes devido oleos gorduras;dermatit contat irrit dev ole gordur
L24;dermatite contato irritantes devida solventes;dermatit contat irrit dev solvent
L24;dermatite contato irritantes devida cosmeticos;dermatit contat irrit dev cosmet
L24;dermatite contato irritantes devida drogas contato pele;dermatit contat irrit dev drog contat pel
L24;dermatite contato irritantes devida outros produtos quimicos;dermatit contat irrit dev outr produt quimic
L24;dermatite contato irritantes devida alimentos contato pele;dermatit contat irrit dev aliment contat pel
L24;dermatite contato irritantes devido plantas , exceto alimentos;dermatit contat irrit dev plant , excet aliment
L24;dermatite contato irritantes devido outros agentes;dermatit contat irrit dev outr agent
L24;dermatite contato irritantes , causa especificada;dermatit contat irrit , caus especific
L25;dermatite contato especificada devida cosmeticos;dermatit contat especific dev cosmet
L25;dermatite contato especificada devida drogas contato pele;dermatit contat especific dev drog contat pel
L25;dermatite contato especificada devida corantes;dermatit contat especific dev corant
L25;dermatite contato especificada devida outros produtos quimicos;dermatit contat especific dev outr produt quimic
L25;dermatite contato especificada devida alimentos contato pele;dermatit contat especific dev aliment contat pel
L25;dermatite contato especificada devida plantas , exceto alimentos;dermatit contat especific dev plant , excet aliment
L25;dermatite contato especificada devida outros agentes;dermatit contat especific dev outr agent
L25;dermatite contato especificada , causa especificada;dermatit contat especific , caus especific
L26;dermatite esfoliativa;dermatit esfoli
L27;erupcao cutanea generalizada devida drogas medicamentos;erupca cutan generaliz dev drog medic
L27;erupcao cutanea localizada devida drogas medicamentos;erupca cutan localiz dev drog medic
L27;dermatite devida ingestao alimentos;dermatit dev ingesta aliment
L27;dermatite devida outras substancias uso interno;dermatit dev outr substanc uso intern
L27;dermatite devida substancia especificada uso interno;dermatit dev substanc especific uso intern
L28;liquen simples cronico;liquen simpl cronic
L28;prurigo nodular;prurig nodul
L28;outras formas prurigo;outr form prurig
L29;prurido anal;prur anal
L29;prurido escrotal;prur escrotal
L29;prurido vulvar;prur vulv
L29;prurido anogenital , especificado;prur anogenital , especific
L29;outras formas prurido;outr form prur
L29;prurido especificado;prur especific
L30;dermatite numular;dermatit numul
L30;disidrose [ pompholyx ];disidros [ pompholyx ]
L30;autossensibilizacao cutanea;autossensibiliz cutan
L30;dermatite infectada;dermatit infect
L30;intertrigo eritematoso;intertrig eritemat
L30;pitiriase alba;pitirias alba
L30;outras dermatites especificadas;outr dermatit especific
L30;dermatite especificada;dermatit especific
L40;psoriase vulgar;psorias vulg
L40;psoriase pustulosa generalizada;psorias pustul generaliz
L40;acrodermatite continua;acrodermatit continu
L40;pustulose palmar plantar;pustulos palm plant
L40;psoriase gutata;psorias gutat
L40;artropatia psoriasica;artropat psorias
L40;outras formas psoriase;outr form psorias
L40;psoriase especificada;psorias especific
L41;pitiriase liquenoide varioliforme aguda;pitirias liquenoid varioliform agud
L41;pitiriase liquenoide cronica;pitirias liquenoid cronic
L41;papulose linfomatoide;papulos linfomatoid
L41;parapsoriase pequenas placas;parapsorias pequen plac
L41;parapsoriase grandes placas;parapsorias grand plac
L41;parapsoriase retiforme;parapsorias retiform
L41;outras parapsoriases;outr parapsorias
L41;parapsoriase , especificada;parapsorias , especific
L42;pitiriase rosea;pitirias ros
L43;liquen plano hipertrofico;liquen plan hipertrof
L43;liquen plano bolhoso;liquen plan bolhos
L43;reacao liquenoide droga;reaca liquenoid drog
L43;liquen plano subagudo ( ativo );liquen plan subagud ( ativ )
L43;outras formas liquen plano;outr form liquen plan
L43;liquen plano , especificado;liquen plan , especific
L44;pitiriase rubra pilar;pitirias rubr pil
L44;liquen nitido;liquen nit
L44;liquen estriado;liquen estri
L44;liquen rubro moniliforme;liquen rubr moniliform
L44;acrodermatite papular infantil [ sindrome gianotti - crosti ];acrodermatit papul infantil [ sindrom gianott - crost ]
L44;outras afeccoes papulo - descamativas especificadas;outr afecco papul - descam especific
L44;afeccoes papulo - descamativas , especificadas;afecco papul - descam , especific
L45;afeccoes papulo - descamativas doencas classificadas outra parte;afecco papul - descam doenc classific outr part
L50;urticaria alergica;urticar alerg
L50;urticaria idiopatica;urticar idiopat
L50;urticaria devida frio calor;urticar dev fri calor
L50;urticaria dermatografica;urticar dermatograf
L50;urticaria vibratoria;urticar vibrator
L50;urticaria colinergica;urticar colinerg
L50;urticaria contato;urticar contat
L50;outras urticarias;outr urticar
L50;urticaria especificada;urticar especific
L51;eritema multiforme bolhoso;eritem multiform bolhos
L51;eritema multiforme bolhoso;eritem multiform bolhos
L51;necrolise epidermica toxica [ sindrome lyell ];necrolis epiderm toxic [ sindrom lyell ]
L51;outras formas eritema multiforme;outr form eritem multiform
L51;eritema multiforme , especificado;eritem multiform , especific
L52;eritema nodoso;eritem nodos
L53;eritema toxico;eritem toxic
L53;eritema anular centrifugo;eritem anul centrifug
L53;eritema marginado;eritem margin
L53;outras formas eritema figurado cronico;outr form eritem figur cronic
L53;outras afeccoes eritematosas especificadas;outr afecco eritemat especific
L53;afeccoes eritematosas , especificadas;afecco eritemat , especific
L54;eritema marginado febre reumatica aguda;eritem margin febr reumat agud
L54;eritema outras doencas classificadas outra parte;eritem outr doenc classific outr part
L55;queimadura solar primeiro grau;queimadur sol primeir grau
L55;queimadura solar segundo grau;queimadur sol segund grau
L55;queimadura solar terceiro grau;queimadur sol terceir grau
L55;outras queimaduras solares;outr queimadur sol
L55;queimadura solar , especificada;queimadur sol , especific
L56;resposta fototoxica drogas;respost fototox drog
L56;resposta fotoalergica drogas;respost fotoalerg drog
L56;dermatite fotocontato [ dermatite berloque ];dermatit fotocontat [ dermatit berloqu ]
L56;urticaria solar;urticar sol
L56;erupcao polimorfa luz;erupca polimorf luz
L56;outras alteracoes agudas especificadas pele devidas radiacao ultravioleta;outr alter agud especific pel dev radiaca ultraviolet
L56;alteracoes agudas pele devidas radiacao ultravioleta , especificadas;alter agud pel dev radiaca ultraviolet , especific
L57;ceratose actinica;ceratos actin
L57;reticuloide actinica;reticuloid actin
L57;cutis romboidal nuca;cut romboidal nuc
L57;poiquilodermia civatte;poiquiloderm civatt
L57;cutis laxa senil;cut lax senil
L57;granuloma actinico;granulom actin
L57;outras alteracoes pele devidas exposicao cronica radiacao - ionizante;outr alter pel dev exposica cronic radiaca - ioniz
L57;alteracoes pele devidas exposicao cronica radiacao - ionizante , especificadas;alter pel dev exposica cronic radiaca - ioniz , especific
L58;radiodermatite aguda;radiodermatit agud
L58;radiodermatite cronica;radiodermatit cronic
L58;radiodermatite , especificada;radiodermatit , especific
L59;eritema devido calor fogo [ dermatite igne ];eritem dev calor fog [ dermatit igne ]
L59;outras afeccoes especificadas pele tecido subcutaneo relacionadas radiacao;outr afecco especific pel tec subcutan relacion radiaca
L59;afeccoes pele tecido subcutaneo relacionadas radiacao , especificadas;afecco pel tec subcutan relacion radiaca , especific
L60;unha encravada;unha encrav
L60;onicolise;onicolis
L60;onicogrifose;onicogrifos
L60;distrofia ungueal;distrof ungueal
L60;linhas beau;linh beau
L60;sindrome unhas amareladas;sindrom unhas amarel
L60;outras afeccoes unhas;outr afecco unhas
L60;afeccoes unhas , especificadas;afecco unhas , especific
L62;paquidermoperiostose unhas hipocraticas ( vidro relogio );paquidermoperiostos unhas hipocrat ( vidr relogi )
L62;afeccoes unhas outras doencas classificadas outra parte;afecco unhas outr doenc classific outr part
L63;alopecia total ( capitis );alopec total ( capit )
L63;alopecia universal;alopec universal
L63;ofiase;ofias
L63;outras formas alopecia areata;outr form alopec areat
L63;alopecia areata , especificada;alopec areat , especific
L64;alopecia androgenica induzida droga;alopec androgen induz drog
L64;outras alopecias androgenicas;outr alopec androgen
L64;alopecia androgenica , especificada;alopec androgen , especific
L65;efluvio telogeno;efluvi telogen
L65;efluvio anageno;efluvi anagen
L65;alopecia mucinosa;alopec mucin
L65;outras formas , especificadas , cicatriciais , perda cabelos pelos;outr form , especific , cicatric , perd cabel pel
L65;perda cabelos pelos cicatriciais , especificada;perd cabel pel cicatric , especific
L66;pseudopelada;pseudopel
L66;liquen planopilar;liquen planopil
L66;foliculite descalvante;foliculit descalv
L66;perifoliculite abscedante cabeca;perifoliculit absced cabec
L66;foliculite uleritematosa reticulada;foliculit uleritemat reticul
L66;outras formas alopecia cicatricial;outr form alopec cicatricial
L66;alopecia cicatricial , especificada;alopec cicatricial , especific
L67;tricorrexe nodosa;tricorrex nodos
L67;variacoes cor cabelos pelos;variaco cor cabel pel
L67;outras anormalidades cor pediculo cabelos pelos;outr anormal cor pedicul cabel pel
L67;anormalidades cor pediculo cabelos pelos , especificadas;anormal cor pedicul cabel pel , especific
L68;hirsutismo;hirsut
L68;hipertricose lanuginosa adquirida;hipertricos lanugin adquir
L68;hipertricose localizada;hipertricos localiz
L68;politriquia;politriqu
L68;outras formas hipertricose;outr form hipertricos
L68;hipertricose , especificada;hipertricos , especific
L70;acne vulgar;acne vulg
L70;acne conglobata;acne conglobat
L70;acne varioliforme;acne varioliform
L70;acne tropical;acne tropical
L70;acne infantil;acne infantil
L70;acne escoriada mulheres jovens;acne escori mulh jovens
L70;outras formas acne;outr form acne
L70;acne , especificada;acne , especific
L71;dermatite perioral;dermatit perioral
L71;rinofima;rinofim
L71;outras formas rosacea;outr form rosac
L71;rosacea , especificada;rosac , especific
L72;cisto epidermico;cist epiderm
L72;cisto triquilemal;cist triquilemal
L72;esteatocistoma multiplo;esteatocistom multipl
L72;outras formas cistos foliculares pele tecido subcutaneo;outr form cist folicul pel tec subcutan
L72;cisto folicular , especificado pele tecido subcutaneo;cist folicul , especific pel tec subcutan
L73;acne queloide;acne queloid
L73;pseudofoliculite barba;pseudofoliculit barb
L73;hidradenite supurativa;hidradenit supur
L73;outras afeccoes foliculares especificadas;outr afecco folicul especific
L73;afeccoes foliculares , especificadas;afecco folicul , especific
L74;miliaria rubra;miliar rubr
L74;miliaria cristalina;miliar cristalin
L74;miliaria profunda;miliar profund
L74;miliaria , especificada;miliar , especific
L74;anidrose;anidros
L74;outras afeccoes glandulas sudoriparas ecrinas;outr afecco glandul sudorip ecrin
L74;afeccoes glandulas sudoriparas ecrinas , especificadas;afecco glandul sudorip ecrin , especific
L75;bromidrose;bromidros
L75;cromidrose;cromidros
L75;miliaria apocrina;miliar apocrin
L75;outras afeccoes glandulas sudoriparas apocrinas;outr afecco glandul sudorip apocrin
L75;afeccoes glandulas sudoriparas apocrinas , especificadas;afecco glandul sudorip apocrin , especific
L80;vitiligo;vitilig
L81;hiperpigmentacao pos - inflamatoria;hiperpigment pos - inflamator
L81;cloasma;cloasm
L81;sardas;sard
L81;manchas cafe - - leite;manch caf - - leit
L81;outras formas hiperpigmentacao melanina;outr form hiperpigment melanin
L81;leucodermia classificada outra parte;leucoderm classific outr part
L81;outros transtornos ligados diminuicao formacao melanina;outr transtorn lig diminuica formaca melanin
L81;dermatose purpurica pigmentada;dermatos purpur pigment
L81;outros transtornos especificados pigmentacao;outr transtorn especific pigment
L81;transtorno pigmentacao , especificado;transtorn pigment , especific
L82;ceratose seborreica;ceratos seborr
L83;acantose nigricans;acantos nigricans
L84;calos calosidades;cal calos
L85;ictiose adquirida;ictios adquir
L85;ceratose adquirida [ ceratodermia ] palmar plantar;ceratos adquir [ ceratoderm ] palm plant
L85;ceratose punctata ( palmar plantar );ceratos punctat ( palm plant )
L85;xerose cutanea;xeros cutan
L85;outras formas espessamento epidermico;outr form espess epiderm
L85;espessamento epidermico , especificado;espess epiderm , especific
L86;ceratodermia doencas classificadas outra parte;ceratoderm doenc classific outr part
L87;ceratose folicular parafolicular penetrante pele [ sindrome kyrle ];ceratos folicul parafolicul penetr pel [ sindrom kyrle ]
L87;colagenose perfurante reativa;colagenos perfur reativ
L87;elastose perfurante serpiginosa;elastos perfur serpigin
L87;outros transtornos eliminacao transepidermica;outr transtorn elimin transepiderm
L87;transtorno eliminacao transepidermica , especificado;transtorn elimin transepiderm , especific
L88;piodermite gangrenosa;piodermit gangren
L89;ulcera decubito;ulcer decubit
L90;liquen escleroso atrofico;liquen escler atrof
L90;anetodermia schweninger - buzzi;anetoderm schwening - buzz
L90;anetodermia jadassohn - pellizzari;anetoderm jadassohn - pellizzar
L90;atrofodermia pasini pierini;atrofoderm pasin pierin
L90;acrodermatite cronica atrofica;acrodermatit cronic atrof
L90;cicatrizes fibrose cutanea;cicatriz fibros cutan
L90;estrias atroficas;estri atrof
L90;outras afeccoes atroficas pele;outr afecco atrof pel
L90;afeccoes atroficas pele , especificadas;afecco atrof pel , especific
L91;cicatriz queloide;cicatriz queloid
L91;outras afeccoes hipertroficas pele;outr afecco hipertrof pel
L91;afeccoes hipertroficas pele , especificadas;afecco hipertrof pel , especific
L92;granuloma anular;granulom anul
L92;necrobiose lipoidica classificada outra parte;necrobios lipoid classific outr part
L92;granuloma facial [ granuloma eosinofilo pele ];granulom facial [ granulom eosinofil pel ]
L92;granuloma corpo estranho pele tecido subcutaneo;granulom corp estranh pel tec subcutan
L92;outras afeccoes granulomatosas pele tecido subcutaneo;outr afecco granulomat pel tec subcutan
L92;afeccoes granulomatosas pele tecido subcutaneo , especificados;afecco granulomat pel tec subcutan , especific
L93;lupus eritematoso discoide;lupus eritemat discoid
L93;lupus eritematoso cutaneo subagudo;lupus eritemat cutan subagud
L93;outras formas lupus eritematoso localizado;outr form lupus eritemat localiz
L94;esclerodermia localizada [ morfeia ];escleroderm localiz [ morf ]
L94;esclerodermia linear;escleroderm lin
L94;calcinose cutanea;calcinos cutan
L94;esclerodactilia;esclerodactil
L94;papulas gottron;papul gottron
L94;poiquilodermia vascular atrofica;poiquiloderm vascul atrof
L94;ainhum;ainhum
L94;outras afeccoes localizadas tecido conjuntivo , especificadas;outr afecco localiz tec conjunt , especific
L94;afeccoes localizadas tecido conjuntivo , especificadas;afecco localiz tec conjunt , especific
L95;vasculite livedoide;vasculit livedoid
L95;eritema elevado diutino ( duradouro );eritem elev diutin ( duradour )
L95;outras vasculites limitadas pele;outr vasculit limit pel
L95;vasculites limitadas pele , especificadas;vasculit limit pel , especific
L97;ulcera membros inferiores classificada outra parte;ulcer membr inferior classific outr part
L98;granuloma piogenico;granulom piogen
L98;dermatite facticia;dermatit factic
L98;dermatose neutrofilica febril [ sweet ];dermatos neutrofil febril [ sweet ]
L98;celulite eosinofilica [ wells ];celulit eosinofil [ wells ]
L98;ulcera cronica pele , classificada outra parte;ulcer cronic pel , classific outr part
L98;mucinose pele;mucinos pel
L98;outras afeccoes infiltrativas pele tecido subcutaneo;outr afecco infiltr pel tec subcutan
L98;outras afeccoes especificadas pele tecido subcutaneo;outr afecco especific pel tec subcutan
L98;afeccoes pele tecido subcutaneo , especificados;afecco pel tec subcutan , especific
L99;amiloidose cutanea;amiloidos cutan
L99;outras afeccoes especificadas pele tecido subcutaneo doencas classificadas outra parte;outr afecco especific pel tec subcutan doenc classific outr part
M00;artrite pioliartrite estafilococicas;artrit pioliartrit estafilococ
M00;artrite poliartrite pneumococicas;artrit poliartrit pneumococ
M00;outras artrites poliartrites estreptococicas;outr artrit poliartrit estreptococ
M00;artrite poliartrite devidas outro agente bacteriano especificado;artrit poliartrit dev outr agent bacterian especific
M00;artrite piogenica , especificada;artrit piogen , especific
M01;artrite meningococica;artrit meningococ
M01;artrite tuberculosa;artrit tubercul
M01;artrite doenca lyme;artrit doenc lyme
M01;artrite outras doencas bacterianas classificadas outra parte;artrit outr doenc bacterian classific outr part
M01;artrite rubeola;artrit rubeol
M01;artrite outras doencas virais classificadas outra parte;artrit outr doenc vir classific outr part
M01;artrite micoses;artrit micos
M01;artrite outras doencas infecciosas parasitarias classificadas outra parte;artrit outr doenc infecc parasitar classific outr part
M02;artropatia pos - derivacao intestinal;artropat pos - deriv intestinal
M02;artropatia pos - desinterica;artropat pos - desinter
M02;artropatia pos - imunizacao;artropat pos - imuniz
M02;doenca reiter;doenc reit
M02;outras artropatias reacionais;outr artropat reacion
M02;artropatia reacional especificada;artropat reacional especific
M03;artrite pos - meningococica;artrit pos - meningococ
M03;artropatia pos - infecciosa sifilis;artropat pos - infecc sifil
M03;outras artropatias pos - infecciosas doencas classificadas outra parte;outr artropat pos - infecc doenc classific outr part
M03;artropatia reacional outras doencas classificadas outra parte;artropat reacional outr doenc classific outr part
M05;sindrome felty;sindrom felty
M05;doenca reumatoide pulmao;doenc reumatoid pulma
M05;vasculite reumatoide;vasculit reumatoid
M05;artrite reumatoide comprometimento outros orgaos sistemas;artrit reumatoid compromet outr orga sistem
M05;outras artrites reumatoides soro - positivas;outr artrit reumatoid sor - posit
M05;artrite reumatoide soro - positiva especificada;artrit reumatoid sor - posit especific
M06;artrite reumatoide soro - negativa;artrit reumatoid sor - negat
M06;doenca still adulto;doenc still adult
M06;bursite reumatoide;bursit reumatoid
M06;nodulo reumatoide;nodul reumatoid
M06;poliartropatia inflamatoria;poliartropat inflamator
M06;outras artrites reumatoides especificadas;outr artrit reumatoid especific
M06;artrite reumatoide especificada;artrit reumatoid especific
M07;artropatia psoriasica interfalangiana distal;artropat psorias interfalangian distal
M07;artrite mutilante;artrit mutil
M07;espondilite psoriasica;espondilit psorias
M07;outras artropatias psoriasicas;outr artropat psorias
M07;artropatia doenca crohn [ enterite regional ];artropat doenc crohn [ enterit regional ]
M07;artropatia colite ulcerativa;artropat colit ulcer
M07;outras artropatias enteropaticas;outr artropat enteropat
M08;artrite reumatoide juvenil;artrit reumatoid juvenil
M08;espondilite ancilosante juvenil;espondilit ancilos juvenil
M08;artrite juvenil inicio sistemico;artrit juvenil inici sistem
M08;poliartrite juvenil ( soro - negativa );poliartrit juvenil ( sor - negat )
M08;artrite juvenil pauciarticular;artrit juvenil pauciarticul
M08;outras artrites juvenis;outr artrit juven
M08;artrite juvenil especificada;artrit juvenil especific
M09;artrite juvenil psoriase;artrit juvenil psorias
M09;artrite juvenil doenca chron [ enterite regional ];artrit juvenil doenc chron [ enterit regional ]
M09;artrite juvenil colite ulcerativa;artrit juvenil colit ulcer
M09;artrite juvenil outras doencas classificadas outra parte;artrit juvenil outr doenc classific outr part
M10;gota idiopatica;got idiopat
M10;gota induzida chumbo;got induz chumb
M10;gota induzida drogas;got induz drog
M10;gota devida disfuncao renal;got dev disfunca renal
M10;outra gota secundaria;outr got secundar
M10;gota , especificada;got , especific
M11;doenca deposicao hidroxiapatita;doenc deposica hidroxiapatit
M11;condrocalcinose familiar;condrocalcinos famili
M11;outras condrocalcinoses;outr condrocalcinos
M11;outras artropatias especificadas deposicao cristais;outr artropat especific deposica crist
M11;artropatia deposicao cristais , especificada;artropat deposica crist , especific
M12;artropatia pos - reumatica cronica [ jaccoud ];artropat pos - reumat cronic [ jaccoud ]
M12;doenca kashin - beck;doenc kashin - beck
M12;sinovite vilonodular ( pigmentada );sinovit vilonodul ( pigment )
M12;reumatismo palindromico;reumat palindrom
M12;hidrartrose intermitente;hidrartros intermitent
M12;artropatia traumatica;artropat traumat
M12;outras artropatias especificas classificadas outra parte;outr artropat especif classific outr part
M13;poliartrite especificada;poliartrit especific
M13;monoartrites classificadas outra parte;monoartrit classific outr part
M13;outras artrites especificadas;outr artrit especific
M13;artrite especificada;artrit especific
M14;artropatia gotosa devida defeitos enzimaticos outras doencas hereditarias;artropat gotos dev defeit enzimat outr doenc hereditar
M14;artropatia deposito cristais outras doencas metabolicas classificadas outra parte;artropat deposit crist outr doenc metabol classific outr part
M14;artropatia diabetica;artropat diabet
M14;dermatoartrite lipoide;dermatoartrit lipoid
M14;artropatia amiloidose;artropat amiloidos
M14;artropatias outras doencas endocrinas , nutricionais metabolicas;artropat outr doenc endocrin , nutricion metabol
M14;artropatia neuropatica;artropat neuropat
M14;artropatias outras doencas especificadas classificadas outra parte;artropat outr doenc especific classific outr part
M15;( osteo ) artrose primaria generalizada;( oste ) artros primar generaliz
M15;nodulos heberden ( artropatia );nodul heberden ( artropat )
M15;nodulos bouchard ( artropatia );nodul bouchard ( artropat )
M15;artrose multipla secundaria;artros multipl secundar
M15;( osteo ) artrose erosiva;( oste ) artros eros
M15;outras poliartroses;outr poliartros
M15;poliartrose especificada;poliartros especific
M16;coxartrose primaria bilateral;coxartros primar bilateral
M16;outras coxartroses primarias;outr coxartros primar
M16;coxartrose bilateral resultante displasia;coxartros bilateral result displas
M16;outras coxartroses displasicas;outr coxartros displas
M16;coxartrose bilateral pos - traumatica;coxartros bilateral pos - traumat
M16;outras coxartroses pos - traumaticas;outr coxartros pos - traumat
M16;outras coxartroses secundarias bilaterais;outr coxartros secundar bilater
M16;outras coxartroses secundarias;outr coxartros secundar
M16;coxartrose especificada;coxartros especific
M17;gonartrose primaria bilateral;gonartros primar bilateral
M17;outras gonartroses primarias;outr gonartros primar
M17;gonartrose pos - traumatica bilateral;gonartros pos - traumat bilateral
M17;outras gonartroses pos - traumatica;outr gonartros pos - traumat
M17;outras gonartroses secundarias bilaterais;outr gonartros secundar bilater
M17;outras gonartroses secundarias;outr gonartros secundar
M17;gonartrose especificada;gonartros especific
M18;artrose primaria bilateral primeiras articulacoes carpometacarpianas;artros primar bilateral primeir articul carpometacarpian
M18;outras artroses primarias primeira articulacao carpometacarpiana;outr artros primar primeir articul carpometacarpian
M18;artrose pos - traumatica bilateral primeira articulacao carpometacarpiana;artros pos - traumat bilateral primeir articul carpometacarpian
M18;outras artroses pos - traumaticas primeira articulacao carpometacarpiana;outr artros pos - traumat primeir articul carpometacarpian
M18;outras cartroses secundarias bilaterais primeiras articulacoes carpometacarpianas;outr cartros secundar bilater primeir articul carpometacarpian
M18;outras artroses secundarias primeira articulacao carpometacarpiana;outr artros secundar primeir articul carpometacarpian
M18;artrose especificada primeira articulacao carpometacarpiana;artros especific primeir articul carpometacarpian
M19;artrose primaria outras articulacoes;artros primar outr articul
M19;artrose pos - traumatica outras articulacoes;artros pos - traumat outr articul
M19;outras artroses secundarias;outr artros secundar
M19;outras artroses especificadas;outr artros especific
M19;artrose especificada;artros especific
M20;deformidade ( ) ( ) dedo ( ) maos;deform ( ) ( ) ded ( ) ma
M20;hallux valgo ( adquirido );hallux valg ( adquir )
M20;hallux rigidus;hallux rigidus
M20;outra deformidade hallux ( adquirida );outr deform hallux ( adquir )
M20;dedo ( ) malho ( adquirido );ded ( ) malh ( adquir )
M20;outras deformidades ( adquiridas ) ( ) dedo ( ) pes;outr deform ( adquir ) ( ) ded ( ) pes
M20;deformidade adquirida especificada dedo ( );deform adquir especific ded ( )
M21;deformidade valgo classificada outra parte;deform valg classific outr part
M21;deformidade varo classificada outra parte;deform var classific outr part
M21;deformidade flexao;deform flexa
M21;mao ( pulso ) pendente ( adquirido );ma ( puls ) pendent ( adquir )
M21;chato [ plano ] ( adquirido );chat [ plan ] ( adquir )
M21;mao garra mao tortos adquiridos;ma garr ma tort adquir
M21;outras deformidades adquiridas tornozelo;outr deform adquir tornozel
M21;desigualdade ( adquirida ) comprimento membros;desigualdad ( adquir ) compriment membr
M21;outras deformidades adquiridas especificadas membros;outr deform adquir especific membr
